id,mos_ref,section_no,section_title,element_no,element_title,objective
PIFR-001,2.1.1,2,Pilot's fitness and qualifications,2.1,Pilot medical fitness for IFR flight,State requirements for pilot fitness to conduct an IFR flight.
PIFR-002,2.1.2,2,Pilot's fitness and qualifications,2.1,Pilot medical fitness for IFR flight,Describe how a pilot determines whether they are fit to conduct an IFR flight.
PIFR-003,2.1.3,2,Pilot's fitness and qualifications,2.1,Pilot medical fitness for IFR flight,State what qualifications a pilot must have to be authorised to conduct an IFR flight.
PIFR-004,3.1.1,3,"Aircraft instruments, radios and equipment",,,List the mandatory flight instruments that must be installed and serviceable for conducting an IFR flight.
PIFR-005,3.1.2,3,"Aircraft instruments, radios and equipment",,,List the mandatory electrical lighting equipment that must be installed and serviceable for conducting an IFR flight.
PIFR-006,3.1.3,3,"Aircraft instruments, radios and equipment",,,List the mandatory aircraft radio communications equipment that must be installed and serviceable for conducting an IFR flight.
PIFR-007,3.1.4,3,"Aircraft instruments, radios and equipment",,,List the mandatory radio navigation equipment that must be installed and serviceable for conducting an IFR flight.
PIFR-008,3.1.5,3,"Aircraft instruments, radios and equipment",,,Extract from an aircraft flight manual information about the limitations that are specified for operating a particular type of aircraft under the IFR.
PIFR-009,4.1.1,4,IFR operations - general,,,State the IFR operations a single-engine aircraft is limited to.
PIFR-010,4.1.2,4,IFR operations - general,,,State the requirements for submission of flight notification and SARWATCH for conducting an IFR operation.
PIFR-011,4.1.3,4,IFR operations - general,,,State the speed restrictions an IFR flight must operate to.
PIFR-012,4.1.4,4,IFR operations - general,,,State the requirements for inflight progress reports for IFR flights.
PIFR-013,4.1.5,4,IFR operations - general,,,State the requirements and procedures for flight plan amendments and advising revised estimates.
PIFR-014,5.1.1,5,Documentation for IFR flight,,,State the documents required to be carried on an IFR flight.
PIFR-015,5.1.2,5,Documentation for IFR flight,,,Extract relevant information from operational documents for an IFR flight.
PIFR-016,5.1.3,5,Documentation for IFR flight,,,Describe the meteorological forecasts required for conducting an IFR flight.
PIFR-017,5.1.4,5,Documentation for IFR flight,,,"State sources of, and actions to obtain, meteorological forecasts for IFR flights."
PIFR-018,5.1.5,5,Documentation for IFR flight,,,Determine the validity of a meteorological forecast for an IFR flight.
PIFR-019,5.1.6,5,Documentation for IFR flight,,,State what meteorological broadcast services are available in Australia for the flight.
PIFR-020,6.1.1,6,IFR navigation requirements,,,Describe the navigation requirements for an IFR flight using radio navigation systems.
PIFR-021,6.1.2,6,IFR navigation requirements,,,State the navigation requirements for an IFR flight using self-contained or long-range navigation systems.
PIFR-022,6.1.3,6,IFR navigation requirements,,,Describe the navigation requirements for an IFR flight using visual reference to ground and water.
PIFR-023,6.1.4,6,IFR navigation requirements,,,State the navigation tolerance for an IFR flight avoiding CTA.
PIFR-024,6.1.5,6,IFR navigation requirements,,,State the requirements for positive radio fixing.
PIFR-025,6.1.6,6,IFR navigation requirements,,,Determine the requirements for the most precise track guidance.
PIFR-026,6.1.7,6,IFR navigation requirements,,,"Apply the navigation requirements of IFR flight with respect to time interval between fixes, accuracy of time reference, accuracy and procedures in track keeping."
PIFR-027,6.1.8,6,IFR navigation requirements,,,Apply the procedures of IFR flight in all classes of airspace when diverting from track due navigation or weather.
PIFR-028,7.1.1,7,Selection of IFR routes,,,Select a route for IFR flight with respect to the following: (a) forecast weather; (b) controlled airspace; (c) PRDs; (d) engine out performance for multi-engine aircraft; (e) specified route limitations; (f) airways operational requirements; (g) the availability of the following: (i) published routes; (ii) en route alternate aerodromes; (iii) navigation aids; (iv) rated coverage of navigation aids; (v) radio communication.
PIFR-029,1.1.1,7,Selection of IFR routes,,,Determine the compulsory reporting points for a route selected.
PIFR-030,7.1.2,7,Selection of IFR routes,,,"Determine whether the flight may proceed based on route, aircraft equipment and IFR navigation requirements."
PIFR-031,8.1.1,8,LSALT and selection of IFR altitudes and levels,8.1,LSALT,Determine LSALT for an IFR flight for a route published on a chart.
PIFR-032,8.1.2,8,LSALT and selection of IFR altitudes and levels,8.1,LSALT,Determine the dimensions of the significant safety sector when calculating LSALT for a route not published on a chart.
PIFR-033,8.1.3,8,LSALT and selection of IFR altitudes and levels,8.1,LSALT,Determine methods of calculating LSALT for a route not published on a chart.
PIFR-034,8.1.4,8,LSALT and selection of IFR altitudes and levels,8.1,LSALT,Calculate LSALT for non-published route.
PIFR-035,8.1.5,8,LSALT and selection of IFR altitudes and levels,8.1,LSALT,State the requirements for descent below LSALT.
